CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,NORAD_KEY,JCAT,DeepCat,Satcat,Piece,Active,Type,Name,LDate,Parent,Owner,State,SDate,ExpandedStatus,DDate,ODate,Period,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,SATCAT_KEY,DENSITY_SCORE
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,COSMOS 1629,1985-016A,EARTH,TEME,UTC,SGP4,2026-05-06T12:19:21.086400,1.00293691,0.0005968,9.2051,314.7806,268.0965,12.4121,0,U,15574,999,15003,0.0,7.7e-07,0.0,42158.592,1435.783,35805.617,35755.297,PAYLOAD,LARGE,CIS,1985-02-21,TTMTR,,5177372,322302517,0 COSMOS 1629,1 15574U 85016A   26126.51343850  .00000077  00000-0  00000+0 0  9991,2 15574   9.2051 314.7806 0005968 268.0965  12.4121  1.00293691150035,15574,S15574,-,15574,1985-016A,P,P,Kosmos-1629,1985 Feb 21,S15581,PVO,SU,1985 Feb 21 1440?,In Earth orbit,-,2026 May  5 ,1435.789,35755, ,35805, ,9.21, ,GEO/I,15574,1.9668146325495022
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,QUETZSAT 1,2011-054A,EARTH,TEME,UTC,SGP4,2026-05-06T11:03:44.550720,1.00270936,0.000321,0.0321,55.018,12.9249,245.3207,0,U,37826,999,4945,0.0,-2.34e-06,0.0,42164.97,1436.109,35800.37,35773.3,PAYLOAD,LARGE,MEX,2011-09-29,TTMTR,,5177120,322296314,0 QUETZSAT 1,1 37826U 11054A   26126.46093230 -.00000234  00000-0  00000+0 0  9990,2 37826   0.0321  55.0180 0003210  12.9249 245.3207  1.00270936 49459,37826,S37826,-,37826,2011-054A,P,P,QuetzSat-1,2011 Sep 29,S37827,QUETZ/SESE,MX,2011 Sep 30 0345,In Earth orbit,-,2026 May  5 ,1436.103,35773, ,35800, ,0.03, ,GEO/S,37826,1.966830184659709
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,HISPASAT 30W-5,2010-070A,EARTH,TEME,UTC,SGP4,2026-05-06T09:34:30.799776,1.00270666,0.0004681,0.0578,95.7424,335.0051,267.1732,0,U,37264,999,5276,0.0,-2.08e-06,0.0,42165.046,1436.113,35806.648,35767.173,PAYLOAD,LARGE,SPN,2010-12-29,FRGUI,,5177110,322296689,0 HISPASAT 30W-5,1 37264U 10070A   26126.39896759 -.00000208  00000-0  00000+0 0  9993,2 37264   0.0578  95.7424 0004681 335.0051 267.1732  1.00270666 52767,37264,S37264,-,37264,2010-070A,P,P,Hispasat 30W-5,2010 Dec 29,S37267,HISP,E,2010 Dec 29 2154,In Earth orbit,-,2026 May  5 ,1436.109,35767, ,35806, ,0.06, ,GEO/S,37264,1.9671042049208418
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,ANIK A3 (TELESAT-3),1975-038A,EARTH,TEME,UTC,SGP4,2026-05-06T04:41:32.851968,1.00053646,0.00018021,7.7887,303.0742,62.7823,311.473,0,U,7790,999,12954,0.0,1.03e-06,0.0,42225.995,1439.228,35855.47,35840.251,PAYLOAD,LARGE,CA,1975-05-07,AFETR,,5176958,322260925,0 ANIK A3 (TELESAT-3),1 07790U 75038A   26126.19551912  .00000103  00000-0  00000-0 0  9990,2 07790   7.7887 303.0742 0001802  62.7823 311.4730  1.00053646129545,7790,S07790,-,7790,1975-038A,P,P,Anik A3,1975 May  7,S07794,TCANL,CA,1975 May  8 0001,In Earth orbit,-,2026 May  5 ,1439.235,35840, ,35855, ,7.79, ,GEO/ID,7790,1.970441499588126
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,HELLAS-SAT 1 (DFS 3),1992-066A,EARTH,TEME,UTC,SGP4,2026-05-06T11:17:40.208064,0.99723463,2.41e-05,14.222,7.3767,49.5175,45.7996,0,U,22175,999,12013,0.0,4e-07,0.0,42319.15,1443.993,35942.035,35939.996,PAYLOAD,LARGE,GREC,1992-10-12,AFETR,,5177469,322304728,0 HELLAS-SAT 1 (DFS 3),1 22175U 92066A   26126.47060426  .00000040  00000-0  00000+0 0  9999,2 22175  14.2220   7.3767 0000241  49.5175  45.7996  0.99723463120138,22175,S22175,-,22175,1992-066A,P,P,Hellas Sat 1,1992 Oct 12,S22177,HELSAR,GR,1992 Oct 12 1108,In Earth orbit,-,2026 May  4 ,1443.995,35940, ,35941, ,14.22, ,GEO/ID,22175,1.9725957242208347
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,INTELSAT 705,1995-013A,EARTH,TEME,UTC,SGP4,2026-05-06T13:28:06.985344,0.98976462,0.0018543,11.6424,38.1202,108.2574,86.5724,0,U,23528,999,11312,0.0,-2.36e-06,0.0,42531.813,1454.891,36232.544,36074.811,PAYLOAD,LARGE,ITSO,1995-03-22,AFETR,,5177510,322305240,0 INTELSAT 705,1 23528U 95013A   26126.56119196 -.00000236  00000-0  00000+0 0  9994,2 23528  11.6424  38.1202 0018543 108.2574  86.5724  0.98976462113125,23528,S23528,-,23528,1995-013A,P,P,INTELSAT 705,1995 Mar 22,S23529,SESINTU,US,1995 Mar 22 0646,In Earth orbit,-,2026 May  4 ,1454.896,36075, ,36232, ,11.64, ,GEO/ID,23528,1.973771608611317
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,EUTE 33E,2009-008B,EARTH,TEME,UTC,SGP4,2026-05-06T11:50:32.562816,0.98940897,0.0005973,2.5937,80.9784,299.6427,108.2024,0,U,33750,999,6295,0.0,1.7e-07,0.0,42542.004,1455.414,36189.28,36138.459,PAYLOAD,LARGE,EUTE,2009-02-12,FRGUI,,5177024,322293785,0 EUTE 33E,1 33750U 09008B   26126.49343244  .00000017  00000-0  00000+0 0  9992,2 33750   2.5937  80.9784 0005973 299.6427 108.2024  0.98940897 62958,33750,S33750,-,33750,2009-008B,P,P,EUTELSAT 33E,2009 Feb 12,S33753,EUTSA,F,2009 Feb 12 2235,In Earth orbit,-,2026 May  5 ,1455.408,36138, ,36189, ,2.59, ,GEO/D,33750,1.9738562015951786
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,DIRECTV 9S,2006-043A,EARTH,TEME,UTC,SGP4,2026-05-06T05:48:52.813152,1.00272402,0.00046833,2.3128,81.3829,340.9419,147.8141,0,U,29494,999,5096,0.0,-1.05e-06,0.0,42164.559,1436.088,35806.171,35766.677,PAYLOAD,LARGE,US,2006-10-13,FRGUI,,5176958,322267694,0 DIRECTV 9S,1 29494U 06043A   26126.24227793 -.00000105  00000-0  00000-0 0  9991,2 29494   2.3128  81.3829 0004683 340.9419 147.8141  1.00272402 50962,29494,S29494,-,29494,2006-043A,P,P,T9S,2006 Oct 13,S29498,DTVT,US,2006 Oct 13 2142,In Earth orbit,-,2026 May  5 ,1436.087,35766, ,35806, ,2.31, ,GEO/S,29494,1.9753930559846997
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,COSMOS 1961,1988-066A,EARTH,TEME,UTC,SGP4,2026-05-06T11:18:41.298048,1.00269077,0.0002789,11.5181,330.0001,147.5784,356.5008,0,U,19344,999,13859,0.0,-1.47e-06,0.0,42165.491,1436.136,35799.116,35775.596,PAYLOAD,LARGE,CIS,1988-08-01,TTMTR,,5177394,322302797,0 COSMOS 1961,1 19344U 88066A   26126.47131132 -.00000147  00000-0  00000+0 0  9990,2 19344  11.5181 330.0001 0002789 147.5784 356.5008  1.00269077138594,19344,S19344,-,19344,1988-066A,P,P,Kosmos-1961,1988 Aug  1,S19347,VVKOV,SU,1988 Aug  2 0347?,In Earth orbit,-,2026 May  5 ,1436.133,35775, ,35798, ,11.52, ,GEO/I,19344,1.9875090541719733
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,ECHOSTAR 12 (RAINBOW 1),2003-033A,EARTH,TEME,UTC,SGP4,2026-05-06T12:51:27.153216,0.98882086,0.0005998,6.1593,86.3256,139.8437,61.9369,0,U,27852,999,8320,0.0,6.7e-07,0.0,42558.871,1456.28,36206.262,36155.209,PAYLOAD,LARGE,US,2003-07-17,AFETR,,5177623,322308266,0 ECHOSTAR 12 (RAINBOW 1),1 27852U 03033A   26126.53573094  .00000067  00000-0  00000+0 0  9998,2 27852   6.1593  86.3256 0005998 139.8437  61.9369  0.98882086 83202,27852,S27852,-,27852,2003-033A,P,P,Echostar XII,2003 Jul 17,S27853,DISHE,US,2003 Jul 18 0125?,In Earth orbit,-,2026 May  5 ,1456.284,36155, ,36206, ,6.16, ,GEO/ID,27852,1.9879568762265705
