CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,NORAD_KEY,JCAT,DeepCat,Satcat,Piece,Active,Type,Name,LDate,Parent,Owner,State,SDate,ExpandedStatus,DDate,ODate,Period,Perigee,PF,Apogee,AF,Inc,IF,OpOrbit,SATCAT_KEY,DENSITY_SCORE
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,SOLIDARIDAD 2,1994-065A,EARTH,TEME,UTC,SGP4,2026-05-06T02:06:38.500704,0.98866683,0.0004977,12.2821,31.597,346.845,204.3762,0,U,23313,999,11492,0.0,-2.32e-06,0.0,42563.291,1456.507,36206.34,36163.972,PAYLOAD,LARGE,MEX,1994-10-08,FRGUI,,5177503,322305654,0 SOLIDARIDAD 2,1 23313U 94065A   26126.08794561 -.00000232  00000-0  00000+0 0  9990,2 23313  12.2821  31.5970 0004977 346.8450 204.3762  0.98866683114927,23313,S23313,-,23313,1994-065A,P,P,Satmex 4,1994 Oct  8,S23315,EUTAM,MX,1994 Oct  8 0129,In Earth orbit,-,2026 May  5 ,1456.503,36163, ,36206, ,12.28, ,GEO/ID,23313,1.0969708606176225
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,INTELSAT 706,1995-023A,EARTH,TEME,UTC,SGP4,2026-05-06T13:29:26.583936,0.99055731,0.0004546,10.8775,45.2046,322.4848,223.4465,0,U,23571,999,11291,0.0,-2.42e-06,0.0,42509.119,1453.727,36150.309,36111.659,PAYLOAD,LARGE,ITSO,1995-05-17,FRGUI,,5177511,322305255,0 INTELSAT 706,1 23571U 95023A   26126.56211324 -.00000242  00000-0  00000+0 0  9996,2 23571  10.8775  45.2046 0004546 322.4848 223.4465  0.99055731112918,23571,S23571,-,23571,1995-023A,P,P,INTELSAT 706,1995 May 17,S23572,SESINTU,US,1995 May 17 0654,In Earth orbit,-,2026 May  4 ,1453.729,36111, ,36150, ,10.87, ,GEO/ID,23571,1.1031154271475445
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,THOR 2A,1997-025A,EARTH,TEME,UTC,SGP4,2026-05-06T05:53:38.875776,0.98970743,0.0005163,11.9625,33.0058,322.9376,240.4083,0,U,24808,999,4566,0.0,-9.5e-07,0.0,42533.451,1454.975,36177.276,36133.356,PAYLOAD,LARGE,NOR,1997-05-20,AFETR,,5177539,322306670,0 THOR 2A,1 24808U 97025A   26126.24558884 -.00000095  00000-0  00000+0 0  9990,2 24808  11.9625  33.0058 0005163 322.9376 240.4083  0.98970743 45663,24808,S24808,-,24808,1997-025A,P,P,Thor II,1997 May 20,S24810,TNOR,N,1997 May 20 2354,In Earth orbit,-,2026 May  4 ,1454.966,36133, ,36176, ,11.96, ,GEO/ID,24808,1.1244082833524274
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,ETS 8,2006-059A,EARTH,TEME,UTC,SGP4,2026-05-05T21:56:05.495136,0.99005485,0.00029529,11.4829,39.6188,324.4435,230.4838,0,U,29656,999,7061,0.0,3.5e-07,0.0,42523.5,1454.465,36157.922,36132.808,PAYLOAD,LARGE,JPN,2006-12-18,TNSTA,,5176958,322267713,0 ETS 8,1 29656U 06059A   26125.91395249  .00000035  00000-0  00000-0 0  9994,2 29656  11.4829  39.6188 0002953 324.4435 230.4838  0.99005485 70616,29656,S29656,-,29656,2006-059A,P,P,Kiku-8,2006 Dec 18,S29657,JAXA,J,2006 Dec 18 0659,In Earth orbit,-,2026 May  4 ,1454.471,36132, ,36158, ,11.48, ,GEO/ID,29656,1.1261786765547728
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,AFRICASAT 1 (MEASAT 1),1996-002B,EARTH,TEME,UTC,SGP4,2026-05-06T10:08:53.698272,0.990617,0.000525,12.3687,29.6288,325.9939,240.7822,0,U,23765,999,11043,0.0,4.3e-07,0.0,42507.411,1453.639,36151.593,36106.96,PAYLOAD,LARGE,MALA,1996-01-12,FRGUI,,5177519,322305354,0 AFRICASAT 1 (MEASAT 1),1 23765U 96002B   26126.42284373  .00000043  00000-0  00000+0 0  9996,2 23765  12.3687  29.6288 0005250 325.9939 240.7822  0.99061700110435,23765,S23765,-,23765,1996-002B,P,P,Africasat 1,1996 Jan 12,S23767,MEAS,MY,1996 Jan 12 2336,In Earth orbit,-,2026 May  4 ,1453.65,36107, ,36151, ,12.37, ,GEO/ID,23765,1.128384968396184
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T02:32:52,18 SPCS,EXPRESS AM-11,2004-015A,EARTH,TEME,UTC,SGP4,2026-05-05T15:26:35.090880,0.99235627,0.00073186,12.9385,23.6314,299.0065,248.1526,0,U,28234,999,7999,0.0,-2.25e-06,0.0,42457.729,1451.092,36110.667,36048.521,PAYLOAD,LARGE,CIS,2004-04-26,TTMTR,,5176277,322217207,0 EXPRESS AM-11,1 28234U 04015A   26125.64346170 -.00000225  00000-0  00000-0 0  9996,2 28234  12.9385  23.6314 0007319 299.0065 248.1526  0.99235627 79994,28234,S28234,-,28234,2004-015A,P,P,Ekspress AM-11,2004 Apr 26,S28240,KS,RU,2004 Apr 27 0309,In Earth orbit,-,2026 May  4 ,1451.084,36048, ,36110, ,12.94, ,GEO/ID,28234,1.137071688623308
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,INTELSAT 701,1993-066A,EARTH,TEME,UTC,SGP4,2026-05-06T07:06:38.592000,0.99317551,0.0004103,10.742,46.611,352.7394,205.2581,0,U,22871,999,11868,0.0,-7.5e-07,0.0,42434.378,1449.895,36073.654,36038.832,PAYLOAD,LARGE,ITSO,1993-10-22,FRGUI,,5177489,322305479,0 INTELSAT 701,1 22871U 93066A   26126.29628000 -.00000075  00000-0  00000+0 0  9990,2 22871  10.7420  46.6110 0004103 352.7394 205.2581  0.99317551118682,22871,S22871,-,22871,1993-066A,P,P,INTELSAT 701,1993 Oct 22,S22906,SESINTU,US,1993 Oct 22 0706?,In Earth orbit,-,2026 May  5 ,1449.89,36038, ,36073, ,10.74, ,GEO/ID,22871,1.145920609414853
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T02:32:52,18 SPCS,GOES 12,2001-031A,EARTH,TEME,UTC,SGP4,2026-05-05T20:31:38.633664,0.99135874,0.00080144,12.1098,37.621,306.7767,232.2001,0,U,26871,999,9034,0.0,6.2e-07,0.0,42486.206,1452.552,36142.121,36074.021,PAYLOAD,LARGE,US,2001-07-23,AFETR,,5176277,322217462,0 GOES 12,1 26871U 01031A   26125.85530826  .00000062  00000-0  00000-0 0  9990,2 26871  12.1098  37.6210 0008014 306.7767 232.2001  0.99135874 90347,26871,S26871,-,26871,2001-031A,P,P,GOES 12,2001 Jul 23,S26872,NOAA,US,2001 Jul 23 0750,In Earth orbit,-,2026 May  4 ,1452.558,36074, ,36142, ,12.11, ,GEO/ID,26871,1.1482266717950207
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,BONUM 1,1998-068A,EARTH,TEME,UTC,SGP4,2026-05-06T09:53:00.591360,0.99035821,0.0004444,10.8047,46.7885,354.3247,218.5819,0,U,25546,999,10012,0.0,5.3e-07,0.0,42514.816,1454.019,36155.575,36117.787,PAYLOAD,LARGE,CIS,1998-11-22,AFETR,,5177566,322307508,0 BONUM 1,1 25546U 98068A   26126.41181240  .00000053  00000-0  00000+0 0  9998,2 25546  10.8047  46.7885 0004444 354.3247 218.5819  0.99035821100121,25546,S25546,-,25546,1998-068A,P,P,BONUM-1,1998 Nov 22,S25548,KS,RU,1998 Nov 23 0108,In Earth orbit,-,2026 May  4 ,1454.021,36117, ,36155, ,10.8, ,GEO/ID,25546,1.1580592461378931
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,AMC-5 (GE-5),1998-063B,EARTH,TEME,UTC,SGP4,2026-05-06T10:00:58.917312,0.99330394,0.0004131,11.3569,40.5519,1.1841,206.7783,0,U,25516,999,10041,0.0,8.2e-07,0.0,42430.72,1449.707,36070.113,36035.057,PAYLOAD,LARGE,SES,1998-10-28,FRGUI,,5177565,322307495,0 AMC-5 (GE-5),1 25516U 98063B   26126.41734858  .00000082  00000-0  00000+0 0  9991,2 25516  11.3569  40.5519 0004131   1.1841 206.7783  0.99330394100413,25516,S25516,-,25516,1998-063B,P,P,AMC 5,1998 Oct 28,S25517,SESSAP,US,1998 Oct 28 2238,In Earth orbit,-,2026 May  4 ,1449.713,36035, ,36070, ,11.35, ,GEO/ID,25516,1.1646630541116096
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,BSAT-1A,1997-016B,EARTH,TEME,UTC,SGP4,2026-05-06T01:08:06.651744,0.99123482,0.00041928,11.0774,41.288,295.7167,258.856,0,U,24769,999,4638,0.0,-1.92e-06,0.0,42489.747,1452.733,36129.427,36093.797,PAYLOAD,LARGE,JPN,1997-04-16,FRGUI,,5176958,322265721,0 BSAT-1A,1 24769U 97016B   26126.04729921 -.00000192  00000-0  00000-0 0  9995,2 24769  11.0774  41.2880 0004193 295.7167 258.8560  0.99123482 46380,24769,S24769,-,24769,1997-016B,P,P,BSAT 1a,1997 Apr 16,S24770,BSAT,J,1997 Apr 16 2333,In Earth orbit,-,2026 May  5 ,1452.735,36093, ,36129, ,11.08, ,GEO/ID,24769,1.1660700500469217
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,AMOS 5I (ASIASAT 2),1995-064A,EARTH,TEME,UTC,SGP4,2026-05-06T13:34:24.642336,0.99309983,0.0009609,11.2154,42.0082,330.1344,213.8971,0,U,23723,999,11091,0.0,-2.67e-06,0.0,42436.534,1450.005,36099.176,36017.621,PAYLOAD,LARGE,ISRA,1995-11-28,XSC,,5177517,322305329,0 AMOS 5I (ASIASAT 2),1 23723U 95064A   26126.56556299 -.00000267  00000-0  00000+0 0  9990,2 23723  11.2154  42.0082 0009609 330.1344 213.8971  0.99309983110914,23723,S23723,-,23723,1995-064A,P,P,Amos 5i,1995 Nov 28,S23725,IAIS,IL,1995 Nov 28 1326?,In Earth orbit,-,2026 May  4 ,1450.005,36017, ,36099, ,11.21, ,GEO/ID,23723,1.167230346942398
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,ABS 3 (AGILA 2),1997-042A,EARTH,TEME,UTC,SGP4,2026-05-06T04:20:42.350208,0.99261891,0.00020519,11.114,43.135,322.2782,233.9203,0,U,24901,999,10481,0.0,-2.33e-06,0.0,42450.239,1450.708,36080.815,36063.394,PAYLOAD,LARGE,PRC,1997-08-19,XSC,,5176958,322265241,0 ABS 3 (AGILA 2),1 24901U 97042A   26126.18104572 -.00000233  00000-0  00000-0 0  9992,2 24901  11.1140  43.1350 0002052 322.2782 233.9203  0.99261891104818,24901,S24901,-,24901,1997-042A,P,P,ABS-3,1997 Aug 19,S24902,ABSHK,HK,1997 Aug 19 1816?,In Earth orbit,-,2026 May  5 ,1450.703,36063, ,36080, ,11.11, ,GEO/ID,24901,1.1684181837395857
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,SPACENET 4 (ASC 2),1991-028A,EARTH,TEME,UTC,SGP4,2026-05-06T00:57:15.194016,0.99569888,0.00076899,13.7215,14.1656,315.2328,225.0916,0,U,21227,999,12595,0.0,-2.79e-06,0.0,42362.654,1446.22,36017.095,35951.943,PAYLOAD,LARGE,US,1991-04-13,AFETR,,5176958,322264634,0 SPACENET 4 (ASC 2),1 21227U 91028A   26126.03975919 -.00000279  00000-0  00000-0 0  9993,2 21227  13.7215  14.1656 0007690 315.2328 225.0916  0.99569888125953,21227,S21227,-,21227,1991-028A,P,P,Spacenet 4,1991 Apr 13,S21229,SESSAP,US,1991 Apr 13 0039?,In Earth orbit,-,2026 May  5 ,1446.216,35951, ,36017, ,13.72, ,GEO/ID,21227,1.1766573289338598
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T02:32:52,18 SPCS,INTELSAT 2 (PAS 2),1994-040A,EARTH,TEME,UTC,SGP4,2026-05-05T18:42:55.950336,0.99189648,0.00048166,12.1516,34.9243,17.5969,176.0916,0,U,23175,999,11522,0.0,1e-08,0.0,42470.849,1451.764,36113.171,36072.258,PAYLOAD,LARGE,US,1994-07-08,FRGUI,,5176277,322215304,0 INTELSAT 2 (PAS 2),1 23175U 94040A   26125.77981424  .00000001  00000-0  00000-0 0  9994,2 23175  12.1516  34.9243 0004817  17.5969 176.0916  0.99189648115223,23175,S23175,-,23175,1994-040A,P,P,Intelsat IS-2,1994 Jul  8,S23177,SESINTU,US,1994 Jul  8 2325?,In Earth orbit,-,2026 May  4 ,1451.761,36072, ,36113, ,12.15, ,GEO/ID,23175,1.1885541344269785
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,ASTRA 1E,1995-055A,EARTH,TEME,UTC,SGP4,2026-05-05T21:52:43.318272,0.98792438,0.00093631,11.4437,40.7629,356.293,184.1383,0,U,23686,999,11135,0.0,-4.6e-07,0.0,42584.613,1457.601,36246.35,36166.606,PAYLOAD,LARGE,SES,1995-10-19,FRGUI,,5176958,322265626,0 ASTRA 1E,1 23686U 95055A   26125.91161248 -.00000046  00000-0  00000-0 0  9998,2 23686  11.4437  40.7629 0009363 356.2930 184.1383  0.98792438111353,23686,S23686,-,23686,1995-055A,P,P      G,Astra 1E,1995 Oct 19,S23687,SESSA,L,1995 Oct 19 0059,In Earth orbit,-,2026 May  4 ,1457.608,36166, ,36246, ,11.44, ,GEO/ID,23686,1.2015153858125829
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,INTELSAT 601,1991-075A,EARTH,TEME,UTC,SGP4,2026-05-05T23:20:27.401568,0.99595384,0.00032023,13.3488,17.2467,316.1613,217.3508,0,U,21765,999,12595,0.0,-2.52e-06,0.0,42355.424,1445.85,35990.853,35963.726,PAYLOAD,LARGE,ITSO,1991-10-29,FRGUI,,5176958,322264762,0 INTELSAT 601,1 21765U 91075A   26125.97253937 -.00000252  00000-0  00000-0 0  9994,2 21765  13.3488  17.2467 0003202 316.1613 217.3508  0.99595384125955,21765,S21765,-,21765,1991-075A,P,P,INTELSAT 601,1991 Oct 29,S21766,SESINTU,US,1991 Oct 29 2330,In Earth orbit,-,2026 May  4 ,1445.848,35963, ,35990, ,13.35, ,GEO/ID,21765,1.2024019349888315
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,OPTUS B3,1994-055A,EARTH,TEME,UTC,SGP4,2026-05-06T09:00:34.056288,0.98697131,0.0007117,12.2958,30.6516,11.22,168.6208,0,U,23227,999,11550,0.0,-3.6e-07,0.0,42612.023,1459.009,36264.215,36203.561,PAYLOAD,LARGE,AUS,1994-08-27,XSC,,5177499,322305604,0 OPTUS B3,1 23227U 94055A   26126.37539417 -.00000036  00000-0  00000+0 0  9994,2 23227  12.2958  30.6516 0007117  11.2200 168.6208  0.98697131115505,23227,S23227,-,23227,1994-055A,P,P,Optus B3,1994 Aug 27,S23229,OPTS,AU,1994 Aug 28 0113,In Earth orbit,-,2026 May  4 ,1459.02,36203, ,36264, ,12.29, ,GEO/ID,23227,1.2053536867311205
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,GSTAR 4,1990-100B,EARTH,TEME,UTC,SGP4,2026-05-06T02:33:43.439328,0.99144393,0.00092345,14.25,10.4148,348.4564,198.1853,0,U,20946,999,4639,0.0,-1.75e-06,0.0,42483.772,1452.427,36144.869,36066.405,PAYLOAD,LARGE,US,1990-11-20,FRGUI,,5176958,322263572,0 GSTAR 4,1 20946U 90100B   26126.10675277 -.00000175  00000-0  00000-0 0  9997,2 20946  14.2500  10.4148 0009235 348.4564 198.1853  0.99144393 46395,20946,S20946,-,20946,1990-100B,P,P,Gstar 4,1990 Nov 20,S20947,SESSAP,US,1990 Nov 20 2334,In Earth orbit,-,2026 May  4 ,1452.418,36065, ,36145, ,14.25, ,GEO/ID,20946,1.2061070188270189
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T15:06:46,18 SPCS,ESTRELA DU SOL-TELSTAR14,2004-001A,EARTH,TEME,UTC,SGP4,2026-05-06T13:05:55.404960,0.98832438,0.0006851,10.9994,44.9371,351.3877,230.4249,0,U,28137,999,8117,0.0,-3.7e-07,0.0,42573.122,1457.012,36224.154,36165.82,PAYLOAD,LARGE,USBZ,2004-01-11,SEAL,,5177728,322310847,0 ESTRELA DU SOL-TELSTAR14,1 28137U 04001A   26126.54578015 -.00000037  00000-0  00000+0 0  9998,2 28137  10.9994  44.9371 0006851 351.3877 230.4249  0.98832438 81173,28137,S28137,-,28137,2004-001A,P,P,Estrela do Sul 1,2004 Jan 11,S28138,TSKYBR,BR,2004 Jan 11 0521,In Earth orbit,-,2026 May  5 ,1457.02,36165, ,36224, ,11.0, ,GEO/ID,28137,1.2092635488266859
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T02:32:52,18 SPCS,KOREASAT 1,1995-041A,EARTH,TEME,UTC,SGP4,2026-05-05T16:52:41.833344,0.99663215,0.00038132,14.7126,358.9436,319.4144,215.7879,0,U,23639,999,11210,0.0,9.3e-07,0.0,42336.204,1444.866,35974.212,35941.925,PAYLOAD,LARGE,SKOR,1995-08-05,AFETR,,5176277,322215410,0 KOREASAT 1,1 23639U 95041A   26125.70326196  .00000093  00000-0  00000-0 0  9994,2 23639  14.7126 358.9436 0003813 319.4144 215.7879  0.99663215112100,23639,S23639,-,23639,1995-041A,P,P,Mugunghwa 1,1995 Aug  5,S23641,KTELT,KR,1995 Aug  5 1226,In Earth orbit,-,2026 May  4 ,1444.87,35941, ,35974, ,14.71, ,GEO/ID,23639,1.2108602844117782
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,RADUGA 1M-1,2007-058A,EARTH,TEME,UTC,SGP4,2026-05-05T21:56:27.959136,0.99395107,0.00021536,10.0841,52.1732,326.323,217.2294,0,U,32373,999,5197,0.0,9.6e-07,0.0,42412.301,1448.763,36043.3,36025.032,PAYLOAD,LARGE,CIS,2007-12-09,TTMTR,,5176958,322268588,0 RADUGA 1M-1,1 32373U 07058A   26125.91421249  .00000096  00000-0  00000-0 0  9991,2 32373  10.0841  52.1732 0002154 326.3230 217.2294  0.99395107 51977,32373,S32373,-,32373,2007-058A,P,P,Raduga-1M,2007 Dec  9,S32375,VVKOV,RU,2007 Dec  9 0917,In Earth orbit,-,2026 May  4 ,1448.77,36025, ,36043, ,10.08, ,GEO/ID,32373,1.218742886631429
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,SBS 5,1988-081B,EARTH,TEME,UTC,SGP4,2026-05-06T03:48:35.783136,0.99785903,0.0007437,14.5959,1.2512,327.2143,224.5338,0,U,19484,999,4604,0.0,-1.42e-06,0.0,42301.495,1443.09,35954.819,35891.9,PAYLOAD,LARGE,US,1988-09-08,FRGUI,,5177395,322302812,0 SBS 5,1 19484U 88081B   26126.15874749 -.00000142  00000-0  00000+0 0  9990,2 19484  14.5959   1.2512 0007437 327.2143 224.5338  0.99785903 46046,19484,S19484,-,19484,1988-081B,P,P,SBS 5,1988 Sep  8,S19485,SESINTU,US,1988 Sep  8 2321,In Earth orbit,-,2026 May  5 ,1443.087,35891, ,35954, ,14.6, ,GEO/ID,19484,1.2200008498122503
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,SATCOM C4,1992-057A,EARTH,TEME,UTC,SGP4,2026-05-06T06:45:33.746112,0.99015861,0.0004159,13.7115,16.5237,314.6098,255.4728,0,U,22096,999,12449,0.0,-3e-08,0.0,42520.529,1454.312,36160.079,36124.71,PAYLOAD,LARGE,US,1992-08-31,AFETR,,5177467,322304704,0 SATCOM C4,1 22096U 92057A   26126.28164058 -.00000003  00000-0  00000+0 0  9996,2 22096  13.7115  16.5237 0004159 314.6098 255.4728  0.99015861124495,22096,S22096,-,22096,1992-057A,P,P,Satcom C4,1992 Aug 31,S22098,SESG,GI,1992 Aug 31 1158?,In Earth orbit,-,2026 May  4 ,1454.309,36123, ,36160, ,13.71, ,GEO/ID,22096,1.2274912238797757
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,SIRIUS 3,1998-056B,EARTH,TEME,UTC,SGP4,2026-05-06T07:14:38.778144,0.99032718,0.0002283,11.7157,34.6861,19.5314,182.7617,0,U,25492,999,10070,0.0,-8e-08,0.0,42515.704,1454.065,36147.275,36127.863,PAYLOAD,LARGE,SES,1998-10-05,FRGUI,,5177564,322306985,0 SIRIUS 3,1 25492U 98056B   26126.30183771 -.00000008  00000-0  00000+0 0  9995,2 25492  11.7157  34.6861 0002283  19.5314 182.7617  0.99032718100701,25492,S25492,-,25492,1998-056B,P,P,Sirius 3,1998 Oct  5,S25493,SESS,S,1998 Oct  5 2316,In Earth orbit,-,2026 May  5 ,1454.063,36127, ,36147, ,11.71, ,GEO/ID,25492,1.232432344691292
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,NSS 703 (INTELSAT 703),1994-064A,EARTH,TEME,UTC,SGP4,2026-05-06T01:05:59.355168,0.99307984,0.00075221,11.6496,37.1754,280.7409,269.8818,0,U,23305,999,11531,0.0,-2.16e-06,0.0,42437.103,1450.034,36090.89,36027.047,PAYLOAD,LARGE,SES,1994-10-06,AFETR,,5176958,322264537,0 NSS 703 (INTELSAT 703),1 23305U 94064A   26126.04582587 -.00000216  00000-0  00000-0 0  9992,2 23305  11.6496  37.1754 0007522 280.7409 269.8818  0.99307984115317,23305,S23305,-,23305,1994-064A,P,P,NSS 703,1994 Oct  6,S23306,SESSAN,NL,1994 Oct  6 0703,In Earth orbit,-,2026 May  5 ,1450.035,36027, ,36090, ,11.65, ,GEO/ID,23305,1.2370634902531363
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,HISPASAT 1A,1992-060A,EARTH,TEME,UTC,SGP4,2026-05-06T12:03:38.806272,0.99318349,0.0006051,14.1662,10.5753,329.5649,197.5922,0,U,22116,999,11908,0.0,-3.13e-06,0.0,42434.151,1449.883,36081.693,36030.339,PAYLOAD,LARGE,SPN,1992-09-10,FRGUI,,5177467,322304706,0 HISPASAT 1A,1 22116U 92060A   26126.50253248 -.00000313  00000-0  00000+0 0  9992,2 22116  14.1662  10.5753 0006051 329.5649 197.5922  0.99318349119085,22116,S22116,-,22116,1992-060A,P,P,Hispasat 1A,1992 Sep 10,S22119,HISP,E,1992 Sep 10 2324,In Earth orbit,-,2026 May  4 ,1449.872,36030, ,36081, ,14.16, ,GEO/ID,22116,1.2374624800989962
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,SPACENET 3R,1988-018A,EARTH,TEME,UTC,SGP4,2026-05-06T04:07:11.971776,0.99656693,0.00034558,14.6916,0.0081,295.6293,252.7226,0,U,18951,999,12419,0.0,-7e-07,0.0,42338.051,1444.961,35974.547,35945.285,PAYLOAD,LARGE,US,1988-03-11,FRGUI,,5176958,322263281,0 SPACENET 3R,1 18951U 88018A   26126.17166634 -.00000070  00000-0  00000-0 0  9998,2 18951  14.6916   0.0081 0003456 295.6293 252.7226  0.99656693124192,18951,S18951,-,18951,1988-018A,P,P,Spacenet 3R,1988 Mar 11,S18953,SESSAP,US,1988 Mar 11 2346,In Earth orbit,-,2026 May  4 ,1444.958,35945, ,35974, ,14.69, ,GEO/ID,18951,1.239901581313668
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,BRAZILSAT B3,1998-006A,EARTH,TEME,UTC,SGP4,2026-05-06T01:10:28.924896,0.99220345,0.00015373,10.7149,47.9849,2.3703,194.1126,0,U,25152,999,4279,0.0,-1.44e-06,0.0,42462.089,1451.315,36090.481,36077.426,PAYLOAD,LARGE,BRAZ,1998-02-04,FRGUI,,5176958,322265283,0 BRAZILSAT B3,1 25152U 98006A   26126.04894589 -.00000144  00000-0  00000-0 0  9992,2 25152  10.7149  47.9849 0001537   2.3703 194.1126  0.99220345 42791,25152,S25152,-,25152,1998-006A,P,P,Star One B3,1998 Feb  4,S25155,STONE,BR,1998 Feb  4 2350,In Earth orbit,-,2026 May  4 ,1451.323,36077, ,36090, ,10.71, ,GEO/ID,25152,1.2490299716459348
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,INMARSAT 2-F1,1990-093A,EARTH,TEME,UTC,SGP4,2026-05-06T03:36:57.768768,0.98875903,0.0009962,13.0157,6.6437,5.2194,193.0421,0,U,20918,999,4710,0.0,-1.07e-06,0.0,42560.645,1456.371,36224.909,36140.111,PAYLOAD,LARGE,IM,1990-10-30,AFETR,,5177429,322303732,0 INMARSAT 2-F1,1 20918U 90093A   26126.15066862 -.00000107  00000-0  00000+0 0  9990,2 20918  13.0157   6.6437 0009962   5.2194 193.0421  0.98875903 47103,20918,S20918,-,20918,1990-093A,P,P,INMARSAT II F-1,1990 Oct 30,S20920,INMRV,UK,1990 Oct 31 0000,In Earth orbit,-,2026 May  5 ,1456.366,36139, ,36224, ,13.02, ,GEO/ID,20918,1.2549606530348165
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,USA 78,1992-006A,EARTH,TEME,UTC,SGP4,2026-05-06T05:39:57.248064,0.99039473,0.0006004,14.8135,3.0147,337.4819,196.0597,0,U,21873,999,2477,0.0,4.4e-07,0.0,42513.771,1453.966,36161.161,36110.111,PAYLOAD,,US,1992-02-11,AFETR,,5177459,322304604,0 USA 78,1 21873U 92006A   26126.23607926  .00000044  00000-0  00000+0 0  9997,2 21873  14.8135   3.0147 0006004 337.4819 196.0597  0.99039473 24776,21873,S21873,-,21873,1992-006A,P,P ------c,DSCS III B-14,1992 Feb 11,S21877,SFSSC/DISA,US,1992 Feb 12 2200?,In Earth orbit,-,2026 May  5 ,1453.97,36109, ,36161, ,14.81, ,GEO/ID,21873,1.255038851954781
