m_debris_1_kg,m_debris_2_kg,m_debris_3_kg,m_debris_4_kg,m_debris_5_kg,total_debris_mass_kg,mission_days
1000,1000,2400,2200,1400,8000,189.42140156296415
1000,1000,2400,2200,1600,8200,189.42140156296415
1000,1000,2400,2200,1800,8400,191.03447131342654
1000,1000,2400,2200,2000,8600,195.42240311806177
1000,1000,2400,2200,2200,8800,199.81073855460278
1000,1000,2400,2200,2400,9000,204.1990739911438
1000,1000,2400,2400,1000,7800,189.42140156296415
1000,1000,2400,2400,1200,8000,189.42140156296415
1000,1000,2400,2400,1400,8200,189.42140156296415
1000,1000,2400,2400,1600,8400,189.42140156296415
1000,1000,2400,2400,1800,8600,191.03447131342654
1000,1000,2400,2400,2000,8800,195.42240311806177
1000,1000,2400,2400,2200,9000,199.81073855460278
1000,1000,2400,2400,2400,9200,204.1990739911438
1000,1200,1000,1000,1000,5200,189.42140156296415
1000,1200,1000,1000,1200,5400,189.42140156296415
1000,1200,1000,1000,1400,5600,189.42140156296415
1000,1200,1000,1000,1600,5800,189.42140156296415
1000,1200,1000,1000,1800,6000,191.03447131342654
1000,1200,1000,1000,2000,6200,195.42240311806177
1000,1200,1000,1000,2200,6400,199.81073855460278
1000,1200,1000,1000,2400,6600,204.1990739911438
1000,1200,1000,1200,1000,5400,189.42140156296415
1000,1200,1000,1200,1200,5600,189.42140156296415
1000,1200,1000,1200,1400,5800,189.42140156296415
