ms_dry_mass_kg,mission_days
500,295.2190679213699
501,295.2190679213699
502,295.2190679213699
503,295.2190679213699
504,295.2190679213699
505,295.2190679213699
506,295.2190679213699
507,295.2190679213699
508,295.2190679213699
509,295.2190679213699
510,295.2190679213699
511,295.2190679213699
512,295.2190679213699
513,295.2190679213699
514,295.2190679213699
515,295.2190679213699
516,295.2190679213699
517,295.2190679213699
518,295.2190679213699
519,295.2190679213699
520,295.2190679213699
521,295.2190679213699
522,295.2190679213699
523,295.2190679213699
524,295.2190679213699
525,295.2190679213699
526,295.2190679213699
527,295.2190679213699
528,295.2190679213699
529,295.2190679213699
530,296.24176971571546
531,296.24176971571546
532,296.24176971571546
533,296.24176971571546
534,296.24176971571546
535,296.24176971571546
536,296.24176971571546
537,296.24176971571546
538,296.24176971571546
539,296.24176971571546
540,296.24176971571546
541,296.24176971571546
542,296.24176971571546
543,296.24176971571546
544,296.24176971571546
545,296.24176971571546
546,296.24176971571546
547,296.24176971571546
548,296.24176971571546
549,296.24176971571546
550,296.24176971571546
551,296.24176971571546
552,296.24176971571546
553,296.24176971571546
554,296.24176971571546
555,296.24176971571546
556,296.24176971571546
557,296.24176971571546
558,296.24176971571546
559,296.24176971571546
560,296.24176971571546
561,296.24176971571546
562,296.24176971571546
563,296.24176971571546
564,296.24176971571546
565,296.24176971571546
566,296.24176971571546
567,296.24176971571546
568,296.24176971571546
569,296.24176971571546
570,296.24176971571546
571,296.24176971571546
572,296.24176971571546
573,296.24176971571546
574,296.24176971571546
575,296.24176971571546
576,296.24176971571546
577,296.24176971571546
578,296.24176971571546
579,296.24176971571546
580,296.24176971571546
581,296.24176971571546
582,296.24176971571546
583,296.24176971571546
584,296.24176971571546
585,296.24176971571546
586,296.24176971571546
587,296.24176971571546
588,296.24176971571546
589,296.24176971571546
590,296.24176971571546
591,296.24176971571546
592,296.24176971571546
593,296.24176971571546
594,296.24176971571546
595,296.24176971571546
596,296.24176971571546
597,296.24176971571546
598,296.24176971571546
599,296.24176971571546
600,296.24176971571546
601,296.24176971571546
602,296.24176971571546
603,296.24176971571546
604,296.24176971571546
605,296.24176971571546
606,296.24176971571546
607,296.24176971571546
608,296.24176971571546
609,296.24176971571546
610,296.24176971571546
611,296.24176971571546
612,296.24176971571546
613,296.24176971571546
614,296.24176971571546
615,296.24176971571546
616,296.24176971571546
617,296.24176971571546
618,296.24176971571546
619,296.24176971571546
620,296.24176971571546
621,296.24176971571546
622,296.24176971571546
623,296.24176971571546
624,296.24176971571546
625,296.24176971571546
626,296.24176971571546
627,296.24176971571546
628,296.24176971571546
629,296.24176971571546
630,296.24176971571546
631,296.24176971571546
632,296.24176971571546
633,296.24176971571546
634,296.24176971571546
635,296.24176971571546
636,296.24176971571546
637,296.24176971571546
638,296.24176971571546
639,296.24176971571546
640,296.24176971571546
641,296.24176971571546
642,296.24176971571546
643,296.24176971571546
644,296.24176971571546
645,296.24176971571546
646,296.24176971571546
647,296.24176971571546
648,296.24176971571546
649,296.24176971571546
650,296.24176971571546
651,296.24176971571546
652,296.24176971571546
653,296.24176971571546
654,296.24176971571546
655,296.24176971571546
656,296.24176971571546
657,296.24176971571546
658,296.24176971571546
659,296.24176971571546
660,296.24176971571546
661,296.24176971571546
662,296.24176971571546
663,296.24176971571546
664,296.24176971571546
665,296.24176971571546
