CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2,NORAD_KEY
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,USA 113,1995-038A,EARTH,TEME,UTC,SGP4,2026-05-05T23:21:49.770144,0.98667477,0.00024267,13.3817,15.9793,254.5615,285.5285,0,U,23628,999,3234,0.00000000000000,-0.00000227,0.0000000000000,42620.561,1459.447,36252.768,36232.083,PAYLOAD,LARGE,US,1995-07-31,AFETR,,5176958,322265115,0 USA 113,1 23628U 95038A   26125.97349271 -.00000227  00000-0  00000-0 0  9996,2 23628  13.3817  15.9793 0002427 254.5615 285.5285  0.98667477 32344,23628
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,OPTUS A2 (AUSSAT 2),1985-109C,EARTH,TEME,UTC,SGP4,2026-05-06T12:07:34.260096,0.99951659,0.0004933,13.3944,340.4343,328.3769,233.3914,0,U,16275,999,4611,0.00000000000000,-0.00000345,0.0000000000000,42254.714,1440.696,35897.424,35855.735,PAYLOAD,MEDIUM,AUS,1985-11-27,AFETR,,5177377,322302089,0 OPTUS A2 (AUSSAT 2),1 16275U 85109C   26126.50525764 -.00000345  00000-0  00000+0 0  9997,2 16275  13.3944 340.4343 0004933 328.3769 233.3914  0.99951659 46115,16275
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,TDRS 7,1995-035B,EARTH,TEME,UTC,SGP4,2026-05-06T03:17:39.225984,1.0027562,0.00109775,13.3951,348.482,66.5995,307.5517,0,U,23613,999,11283,0.00000000000000,-0.00000236,0.0000000000000,42163.657,1436.042,35831.807,35739.237,PAYLOAD,LARGE,US,1995-07-13,AFETR,,5176958,322264610,0 TDRS 7,1 23613U 95035B   26126.13725956 -.00000236  00000-0  00000-0 0  9994,2 23613  13.3951 348.4820 0010978  66.5995 307.5517  1.00275620112839,23613
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,BS-3B (YURI 3B),1991-060A,EARTH,TEME,UTC,SGP4,2026-05-06T04:06:56.996064,0.98791086,0.00027838,13.396,357.3055,161.8791,28.4222,0,U,21668,999,12889,0.00000000000000,-0.00000004,0.0000000000000,42585.002,1457.621,36218.722,36195.012,PAYLOAD,LARGE,JPN,1991-08-25,TNSTA,,5176958,322264244,0 BS-3B (YURI 3B),1 21668U 91060A   26126.17149301 -.00000004  00000-0  00000-0 0  9997,2 21668  13.3960 357.3055 0002784 161.8791  28.4222  0.98791086128895,21668
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T10:08:52,18 SPCS,RADUGA 28,1991-087A,EARTH,TEME,UTC,SGP4,2026-05-06T04:47:02.325408,1.00329073,0.00036853,13.3961,341.3627,184.7116,171.7878,0,U,21821,999,12589,0.00000000000000,0.00000119,0.0000000000000,42148.68,1435.277,35786.078,35755.012,PAYLOAD,LARGE,CIS,1991-12-19,TTMTR,,5176958,322264777,0 RADUGA 28,1 21821U 91087A   26126.19933247  .00000119  00000-0  00000-0 0  9995,2 21821  13.3961 341.3627 0003685 184.7116 171.7878  1.00329073125894,21821
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-05T10:20:49,18 SPCS,SUPERBIRD 6,2004-011A,EARTH,TEME,UTC,SGP4,2026-05-04T21:50:07.882080,0.99464261,0.00295281,13.4092,17.9322,39.7343,144.0167,0,U,28218,999,8001,0.00000000000000,-0.00000076,0.0000000000000,42392.64,1447.756,36139.683,35889.328,PAYLOAD,LARGE,JPN,2004-04-16,AFETR,,5174649,322145681,0 SUPERBIRD 6,1 28218U 04011A   26124.90981345 -.00000076  00000-0  00000-0 0  9995,2 28218  13.4092  17.9322 0029528  39.7343 144.0167  0.99464261 80014,28218
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:46:56,18 SPCS,SATCOM C1,1990-100A,EARTH,TEME,UTC,SGP4,2026-05-06T11:34:34.621824,0.99182962,0.0014497,13.4148,15.6581,18.1987,104.2646,0,U,20945,999,12657,0.00000000000000,-0.00000113,0.0000000000000,42472.758,1451.862,36156.195,36033.05,PAYLOAD,LARGE,US,1990-11-20,FRGUI,,5177320,322301397,0 SATCOM C1,1 20945U 90100A   26126.48234516 -.00000113  00000-0  00000+0 0  9995,2 20945  13.4148  15.6581 0014497  18.1987 104.2646  0.99182962126578,20945
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T02:32:52,18 SPCS,GALAXY 5,1992-013A,EARTH,TEME,UTC,SGP4,2026-05-05T21:19:03.984384,0.99285592,0.00136064,13.4335,18.6545,87.2398,140.0752,0,U,21906,999,4582,0.00000000000000,0.00000080,0.0000000000000,42443.484,1450.361,36123.099,36007.598,PAYLOAD,LARGE,US,1992-03-14,AFETR,,5176277,322215081,0 GALAXY 5,1 21906U 92013A   26125.88824056  .00000080  00000-0  00000-0 0  9998,2 21906  13.4335  18.6545 0013606  87.2398 140.0752  0.99285592 45828,21906
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,DFH-3 2,1997-021A,EARTH,TEME,UTC,SGP4,2026-05-06T11:50:15.853056,1.0024618,0.0006285,13.4716,14.118,91.3047,60.9751,0,U,24798,999,10610,0.00000000000000,-0.00000363,0.0000000000000,42171.911,1436.464,35820.282,35767.271,PAYLOAD,LARGE,PRC,1997-05-11,XSC,,5177539,322306169,0 DFH-3 2,1 24798U 97021A   26126.49323904 -.00000363  00000-0  00000+0 0  9992,2 24798  13.4716  14.1180 0006285  91.3047  60.9751  1.00246180106102,24798
3.0,GENERATED VIA SPACE-TRACK.ORG API,2026-05-06T14:56:52,18 SPCS,INTELSAT 605,1991-055A,EARTH,TEME,UTC,SGP4,2026-05-06T07:34:37.529760,0.99322854,0.0001703,13.5295,17.8498,259.3705,305.2204,0,U,21653,999,12651,0.00000000000000,0.00000048,0.0000000000000,42432.867,1449.817,36061.959,36047.506,PAYLOAD,MEDIUM,ITSO,1991-08-14,FRGUI,,5177455,322304053,0 INTELSAT 605,1 21653U 91055A   26126.31571215  .00000048  00000-0  00000+0 0  9990,2 21653  13.5295  17.8498 0001703 259.3705 305.2204  0.99322854126516,21653
