Tug,Delta-v [m/s],Target mass [kg],Tug dry mass [kg],Tug propellant [kg],Tug wet mass before deployment [kg],Combined mass with target before return [kg],Mass ratio
Tug 1,1050.0,2000,200.0,162.77670012298904,362.77670012298904,2362.776700122989,1.0739894091468132
Tug 2,1050.0,2000,200.0,162.77670012298904,362.77670012298904,2362.776700122989,1.0739894091468132
Tug 3,1050.0,2000,200.0,162.77670012298904,362.77670012298904,2362.776700122989,1.0739894091468132
Tug 4,1050.0,2000,200.0,162.77670012298904,362.77670012298904,2362.776700122989,1.0739894091468132
